编号,材料名称及规格,材料说明,单位,安阳,鹤壁,济源,焦作,开封,洛阳,漯河,南阳,平顶山,濮阳,三门峡,商丘,新乡,信阳,许昌,郑州,周口,驻马店
1511,水泥混凝土配合比材料(商),综合到市,,,,,,,,,,,,,,,,,,,
1511006,C15,,m3,322,316,284,296,342,333,358,311,308,336,304,371,312,361,332,303,381,375
1511007,C20,,m3,332,325,294,306,351,343,368,320,317,346,314,381,321,371,342,313,390,384
1511008,C25,,m3,342,335,304,316,361,352,378,330,327,355,323,390,331,381,351,322,400,394
1511010,C30,,m3,351,345,314,325,371,362,387,340,337,365,333,400,341,390,361,332,410,404
1511012,C35,,m3,366,359,328,340,385,377,402,354,351,380,348,415,355,405,376,347,424,418
1511014,C40,,m3,383,377,346,357,403,394,419,372,369,397,365,432,373,422,393,364,442,436
2001,钢丝、线材及其制品,综合到市,,,,,,,,,,,,,,,,,,,
2001001,HPB300钢筋,光圆,t,3476,3481,3476,3527,3565,3536,3561,3612,3499,3509,3563,3581,3554,3522,3543,3540,3538,3514
2001002,HRB400钢筋,带肋,,,,,,,,,,,,,,,,,,,
2001002001,(Ф10以内综合价)热轧Ⅲ级钢筋（HRB400）,带E钢筋，费用增加20元/吨,t,3490,3496,3490,3537,3580,3551,3576,3630,3490,3523,3578,3593,3531,3540,3578,3555,3553,3529
2001002002,(Ф10以上综合价)热轧Ⅲ级钢筋（HRB400）,带E钢筋，费用增加20元/吨,t,3353,3359,3353,3400,3442,3414,3439,3492,3353,3386,3441,3456,3393,3403,3441,3417,3416,3392
2001002003,(Ф8～Φ10)热轧Ⅲ级钢筋（HRB400）,带E钢筋，费用增加20元/吨,t,3428,3434,3428,3475,3517,3489,3514,3567,3428,3461,3516,3531,3468,3478,3516,3492,3491,3467
2001002004,(Ф12)热轧Ⅲ级钢筋（HRB400）,带E钢筋，费用增加20元/吨,t,3437,3442,3437,3483,3526,3498,3523,3576,3437,3470,3524,3540,3477,3487,3524,3501,3500,3475
