序号,名称,规格型号,单位,不含税价,备注,地区,信息价时间,类别,专业
1511006,C15,,m3,293,,郑州,2024/4/15,郑州公路2024年4月信息价,公路
1511006,C15,,m3,336,,濮阳,2024/4/15,濮阳公路2024年4月信息价,公路
1511006,C15,,m3,374,,周口,2024/4/15,周口公路2024年4月信息价,公路
1511006,C15,,m3,327,,许昌,2024/4/15,许昌公路2024年4月信息价,公路
1511006,C15,,m3,312,,新乡,2024/4/15,新乡公路2024年4月信息价,公路
1511006,C15,,m3,329,,洛阳,2024/4/15,洛阳公路2024年4月信息价,公路
1511006,C15,,m3,316,,安阳,2024/4/15,安阳公路2024年4月信息价,公路
1511006,C15,,m3,296,,焦作,2024/4/15,焦作公路2024年4月信息价,公路
1511006,C15,,m3,308,,平顶山,2024/4/15,平顶山公路2024年4月信息价,公路
1511006,C15,,m3,356,,信阳,2024/4/15,信阳公路2024年4月信息价,公路
1511006,C15,,m3,352,,漯河,2024/4/15,漯河公路2024年4月信息价,公路
1511006,C15,,m3,366,,驻马店,2024/4/15,驻马店公路2024年4月信息价,公路
1511006,C15,,m3,304,,南阳,2024/4/15,南阳公路2024年4月信息价,公路
1511006,C15,,m3,310,,鹤壁,2024/4/15,鹤壁公路2024年4月信息价,公路
1511006,C15,,m3,301,,三门峡,2024/4/15,三门峡公路2024年4月信息价,公路
1511006,C15,,m3,284,,济源,2024/4/15,济源公路2024年4月信息价,公路
1511006,C15,,m3,337,,开封,2024/4/15,开封公路2024年4月信息价,公路
1511006,C15,,m3,366,,商丘,2024/4/15,商丘公路2024年4月信息价,公路
1511007,C20,,m3,303,,郑州,2024/4/15,郑州公路2024年4月信息价,公路
1511007,C20,,m3,346,,濮阳,2024/4/15,濮阳公路2024年4月信息价,公路
1511007,C20,,m3,383,,周口,2024/4/15,周口公路2024年4月信息价,公路
1511007,C20,,m3,337,,许昌,2024/4/15,许昌公路2024年4月信息价,公路
1511007,C20,,m3,321,,新乡,2024/4/15,新乡公路2024年4月信息价,公路
1511007,C20,,m3,339,,洛阳,2024/4/15,洛阳公路2024年4月信息价,公路
1511007,C20,,m3,325,,安阳,2024/4/15,安阳公路2024年4月信息价,公路
1511007,C20,,m3,306,,焦作,2024/4/15,焦作公路2024年4月信息价,公路
1511007,C20,,m3,317,,平顶山,2024/4/15,平顶山公路2024年4月信息价,公路
1511007,C20,,m3,366,,信阳,2024/4/15,信阳公路2024年4月信息价,公路
1511007,C20,,m3,362,,漯河,2024/4/15,漯河公路2024年4月信息价,公路
1511007,C20,,m3,376,,驻马店,2024/4/15,驻马店公路2024年4月信息价,公路
1511007,C20,,m3,314,,南阳,2024/4/15,南阳公路2024年4月信息价,公路
1511007,C20,,m3,319,,鹤壁,2024/4/15,鹤壁公路2024年4月信息价,公路
1511007,C20,,m3,311,,三门峡,2024/4/15,三门峡公路2024年4月信息价,公路
1511007,C20,,m3,294,,济源,2024/4/15,济源公路2024年4月信息价,公路
1511007,C20,,m3,347,,开封,2024/4/15,开封公路2024年4月信息价,公路
1511007,C20,,m3,376,,商丘,2024/4/15,商丘公路2024年4月信息价,公路
1511008,C25,,m3,313,,郑州,2024/4/15,郑州公路2024年4月信息价,公路
1511008,C25,,m3,355,,濮阳,2024/4/15,濮阳公路2024年4月信息价,公路
1511008,C25,,m3,393,,周口,2024/4/15,周口公路2024年4月信息价,公路
1511008,C25,,m3,347,,许昌,2024/4/15,许昌公路2024年4月信息价,公路
1511008,C25,,m3,331,,新乡,2024/4/15,新乡公路2024年4月信息价,公路
1511008,C25,,m3,349,,洛阳,2024/4/15,洛阳公路2024年4月信息价,公路
