序号,名称,规格型号,单位,不含税价,备注,地区,发布时间,类别,专业
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,278,,郑州,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,355,,濮阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,350,,周口,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,365,,许昌,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,396,,新乡,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,318,,洛阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,300,,安阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,295,,焦作,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,340,,平顶山,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,383,,信阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,400,,漯河,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,410,,驻马店,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,349,,南阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,305,,鹤壁,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,301,,三门峡,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,270,,济源,2024/4/30,河南省工程造价信息2024年第二期,建筑
2,普通硅酸盐水泥（P·O）,42.5（散装）,t,367,,开封,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,265,,郑州,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,370,,濮阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,365,,周口,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,375,,许昌,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,408,,新乡,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,337,,洛阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,309,,安阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,360,,平顶山,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,392,,信阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,420,,漯河,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,425,,驻马店,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,318,,鹤壁,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,327,,三门峡,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,315,,济源,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,319,,开封,2024/4/30,河南省工程造价信息2024年第二期,建筑
3,普通硅酸盐水泥（P·O）,42.5（袋装）,t,380,,商丘,2024/4/30,河南省工程造价信息2024年第二期,建筑
4,复合硅酸盐水泥（P·C）,42.5（散装）,t,265,,郑州,2024/4/30,河南省工程造价信息2024年第二期,建筑
4,复合硅酸盐水泥（P·C）,42.5（散装）,t,353,,新乡,2024/4/30,河南省工程造价信息2024年第二期,建筑
4,复合硅酸盐水泥（P·C）,42.5（散装）,t,329,,洛阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
4,复合硅酸盐水泥（P·C）,42.5（散装）,t,278,,焦作,2024/4/30,河南省工程造价信息2024年第二期,建筑
4,复合硅酸盐水泥（P·C）,42.5（散装）,t,283,,三门峡,2024/4/30,河南省工程造价信息2024年第二期,建筑
5,复合硅酸盐水泥（P·C）,42.5（袋装）,t,292,,郑州,2024/4/30,河南省工程造价信息2024年第二期,建筑
5,复合硅酸盐水泥（P·C）,42.5（袋装）,t,359,,新乡,2024/4/30,河南省工程造价信息2024年第二期,建筑
5,复合硅酸盐水泥（P·C）,42.5（袋装）,t,343,,洛阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
5,复合硅酸盐水泥（P·C）,42.5（袋装）,t,322,,焦作,2024/4/30,河南省工程造价信息2024年第二期,建筑
5,复合硅酸盐水泥（P·C）,42.5（袋装）,t,310,,三门峡,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,257,,郑州,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,310,,濮阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,322,,周口,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,332,,许昌,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,325,,新乡,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,313,,洛阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,257,,安阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,335,,焦作,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,370,,平顶山,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,368,,信阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,365,,漯河,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,400,,驻马店,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,347,,南阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,310,,鹤壁,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,300,,济源,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,352,,开封,2024/4/30,河南省工程造价信息2024年第二期,建筑
7,C15碎石混凝土,最大粒径20mm,m3,330,,商丘,2024/4/30,河南省工程造价信息2024年第二期,建筑
8,C20碎石混凝土,最大粒径15mm,m3,281,,郑州,2024/4/30,河南省工程造价信息2024年第二期,建筑
8,C20碎石混凝土,最大粒径15mm,m3,320,,濮阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
8,C20碎石混凝土,最大粒径15mm,m3,325,,洛阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
8,C20碎石混凝土,最大粒径15mm,m3,345,,焦作,2024/4/30,河南省工程造价信息2024年第二期,建筑
8,C20碎石混凝土,最大粒径15mm,m3,378,,信阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
8,C20碎石混凝土,最大粒径15mm,m3,375,,漯河,2024/4/30,河南省工程造价信息2024年第二期,建筑
8,C20碎石混凝土,最大粒径15mm,m3,420,,驻马店,2024/4/30,河南省工程造价信息2024年第二期,建筑
8,C20碎石混凝土,最大粒径15mm,m3,320,,鹤壁,2024/4/30,河南省工程造价信息2024年第二期,建筑
8,C20碎石混凝土,最大粒径15mm,m3,359,,开封,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,271,,郑州,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,320,,濮阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,332,,周口,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,342,,许昌,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,335,,新乡,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,320,,洛阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,266,,安阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,345,,焦作,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,380,,平顶山,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,378,,信阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,385,,漯河,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,420,,驻马店,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,347,,南阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,320,,鹤壁,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,310,,济源,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,359,,开封,2024/4/30,河南省工程造价信息2024年第二期,建筑
9,C20碎石混凝土,最大粒径20mm,m3,340,,商丘,2024/4/30,河南省工程造价信息2024年第二期,建筑
10,C25碎石混凝土,最大粒径15mm,m3,296,,郑州,2024/4/30,河南省工程造价信息2024年第二期,建筑
10,C25碎石混凝土,最大粒径15mm,m3,330,,濮阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
10,C25碎石混凝土,最大粒径15mm,m3,331,,洛阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
10,C25碎石混凝土,最大粒径15mm,m3,355,,焦作,2024/4/30,河南省工程造价信息2024年第二期,建筑
10,C25碎石混凝土,最大粒径15mm,m3,388,,信阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
10,C25碎石混凝土,最大粒径15mm,m3,400,,漯河,2024/4/30,河南省工程造价信息2024年第二期,建筑
10,C25碎石混凝土,最大粒径15mm,m3,430,,驻马店,2024/4/30,河南省工程造价信息2024年第二期,建筑
10,C25碎石混凝土,最大粒径15mm,m3,330,,鹤壁,2024/4/30,河南省工程造价信息2024年第二期,建筑
10,C25碎石混凝土,最大粒径15mm,m3,368,,开封,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,286,,郑州,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,330,,濮阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,342,,周口,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,352,,许昌,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,345,,新乡,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,329,,洛阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,276,,安阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,355,,焦作,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,390,,平顶山,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,388,,信阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,415,,漯河,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,430,,驻马店,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,330,,鹤壁,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,320,,济源,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,368,,开封,2024/4/30,河南省工程造价信息2024年第二期,建筑
11,C25碎石混凝土,最大粒径20mm,m3,350,,商丘,2024/4/30,河南省工程造价信息2024年第二期,建筑
12,C30碎石混凝土,最大粒径15mm,m3,310,,郑州,2024/4/30,河南省工程造价信息2024年第二期,建筑
12,C30碎石混凝土,最大粒径15mm,m3,340,,濮阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
12,C30碎石混凝土,最大粒径15mm,m3,338,,洛阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
12,C30碎石混凝土,最大粒径15mm,m3,365,,焦作,2024/4/30,河南省工程造价信息2024年第二期,建筑
12,C30碎石混凝土,最大粒径15mm,m3,398,,信阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
12,C30碎石混凝土,最大粒径15mm,m3,435,,漯河,2024/4/30,河南省工程造价信息2024年第二期,建筑
12,C30碎石混凝土,最大粒径15mm,m3,440,,驻马店,2024/4/30,河南省工程造价信息2024年第二期,建筑
12,C30碎石混凝土,最大粒径15mm,m3,339,,鹤壁,2024/4/30,河南省工程造价信息2024年第二期,建筑
12,C30碎石混凝土,最大粒径15mm,m3,427,,三门峡,2024/4/30,河南省工程造价信息2024年第二期,建筑
12,C30碎石混凝土,最大粒径15mm,m3,383,,开封,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,300,,郑州,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,340,,濮阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,352,,周口,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,362,,许昌,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,355,,新乡,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,335,,洛阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,286,,安阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,365,,焦作,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,400,,平顶山,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,398,,信阳,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,465,,漯河,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,440,,驻马店,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,339,,鹤壁,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,417,,三门峡,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,330,,济源,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,383,,开封,2024/4/30,河南省工程造价信息2024年第二期,建筑
13,C30碎石混凝土,最大粒径20mm,m3,360,,商丘,2024/4/30,河南省工程造价信息2024年第二期,建筑
